good,medium,bad
725,87,0
802,122,0
770,70,0
1011,50,0
785,90,0
893,70,1
749,108,0
787,59,0
787,71,0
902,74,0
922,149,8
770,74,15
785,72,0
740,124,0
775,220,18
656,173,4
902,195,0
806,114,5
878,75,0
924,158,6
745,109,10
745,81,0
983,111,0
716,133,0
735,115,0
752,108,0
843,165,14
768,201,4
853,192,10
833,113,0
786,130,4
844,98,0
888,202,0
830,160,4
884,102,1
769,89,0
846,158,0
926,131,1
982,109,0
903,92,0
893,134,0
820,85,0
719,135,0
922,154,3
749,60,3
864,198,13
795,236,12
751,88,2
798,132,0
844,197,0
831,61,0
776,103,0
849,113,0
727,100,0
778,81,8
771,104,2
838,181,0
886,172,1
714,113,0
878,161,0
971,72,0
892,140,4
894,133,1
827,200,6
743,86,0
891,99,0
952,121,1
933,137,2
757,96,4
871,126,0
811,144,0
706,112,0
849,220,3
814,159,13
862,231,4
751,106,10
782,93,0
790,92,0
748,114,0
782,69,0
737,80,0
844,116,0
796,169,2
747,119,0
751,282,18
734,106,13
813,170,0
825,159,0
837,233,12
813,169,14
864,92,0
735,78,0
977,108,0
952,110,0
950,146,0
948,120,0
819,84,0
792,58,0
835,85,0
806,106,0
