server,bus1,bus2,bus3
336,147,240,89,
408,74,232,210,
383,93,194,170,
538,96,243,184,
372,116,198,189,
451,120,211,182,
296,160,201,200,
350,124,223,149,
351,133,209,165,
496,129,205,146,
521,129,251,178,
393,137,200,129,
400,132,190,135,
456,143,168,97,
695,122,81,115,
566,103,78,86,
657,150,169,121,
492,126,180,127,
502,120,216,115,
626,140,194,128,
436,136,178,114,
422,102,179,123,
632,135,196,131,
412,104,186,147,
450,86,164,150,
535,38,156,131,
682,40,170,130,
629,43,152,149,
652,80,180,143,
549,81,187,129,
514,89,146,171,
531,88,165,158,
629,90,224,147,
591,75,167,161,
563,69,176,179,
479,91,140,148,
489,120,232,163,
604,118,185,151,
607,128,200,156,
540,111,207,137,
562,136,203,126,
483,106,206,110,
452,108,165,129,
602,130,183,164,
386,111,153,162,
629,135,138,173,
626,124,141,152,
444,119,133,145,
542,90,155,143,
586,128,184,143,
440,142,185,125,
450,144,160,125,
455,161,186,160,
346,130,208,143,
426,125,185,131,
466,130,173,108,
521,121,219,158,
572,147,213,127,
389,121,208,109,
562,120,236,121,
584,123,228,108,
510,161,254,111,
625,114,195,94,
583,112,230,108,
384,123,197,125,
525,103,210,152,
600,139,224,111,
591,134,227,120,
417,148,200,92,
615,112,179,91,
519,135,183,118,
531,34,169,84,
710,43,204,115,
574,40,248,124,
698,46,235,118,
433,94,222,118,
388,89,264,134,
372,135,243,132,
387,116,236,123,
401,120,238,92,
413,96,199,109,
535,95,197,133,
493,102,214,158,
453,120,177,116,
724,167,49,111,
535,185,42,91,
696,153,43,91,
679,149,48,108,
762,137,42,141,
625,133,57,181,
559,116,129,152,
441,141,95,136,
610,168,142,165,
624,154,109,175,
636,139,117,204,
580,140,143,205,
507,126,128,142,
413,129,172,136,
476,134,181,129,
505,104,186,117,
